code,interest,target,maturity,status,description,urgent,stable
60,0.1,8000,3,0,款成功后按照借款金额的一定比例一次性从借款中扣除，实际费用比例参见下表，信用等级以审核最终评定为准。 信用等级 AA A B C D E HR 费率 0% 1% 1.5% 2% 2.5% 3% 5% 实际费用 0 80 120 160 200 240 400,0,0
61,0.1,30000,3,1,第三次，短期周转用。第三次，短期周转用。,0,0
62,0.12,8000,6,1,本人因网店销量旺季来了，扩大规模急需资金周转请多多帮助，保证信用！,1,0
63,0.1,10000,3,1,本人想在业余时间开家买当地土特产的淘宝店，需要店面装修和进货费用10000元,0,0
64,0.11,4000,6,1,急需急需急需急需急需急需急需急需急需急需急需,1,0
65,0.15,30000,24,1,计划换车，上班代步用，看到人人贷，想试试看,0,0
66,0.15,30000,24,1,国为按揭了房子，装修过后，需采购一些家具,0,0
67,0.15,200000,24,1,"新买房子进行房屋装修 ,由于购房已用完存款,并有30w公积金贷款.需要20w进行装修.",0,0
68,0.12,50000,9,1,本人因店面装修扩张；须50000元资金周转；,0,0
69,0.15,90000,24,1,2007年，因本人卖了一套房给朋友，当时太大意，没想太多因素，让朋友暂时用我的名誉继续跟房贷，谁知几个月后（期间我与工行多次催促过他），本人征信即已有了逾期！之后，有一次本人因想寻求银行支持才知道个人征信已确定不好，可我已经没办法挽回，就这样一直拖到今年4月我才督促他把余款结清，可暂时我依然不能取得银行支持！有时在银行工作的朋友违规帮助一下，本人从未让他人为我背过过！2013年9月，本人为家内无业亲人装修一个旅馆以谋进一步发展，然而资金紧缺之时却无法取得银行支持！现在，本人为充分利用旅馆一楼门面及场地，正欲办一租车行（镇宁县地处两个国家5A级风景区的重要位置，租车行业有一定市场），这时确需银行或如你等公司支持，所以本人特提出申请，望给予关照！还贷问题没有难度，唯盼酌情给予支持为谢！（注：本人是一名国家公职人员，21年工龄，现在镇宁县一乡镇任副乡长，月薪稳定。）,0,1
70,0.11,15000,6,1,资金周转，需进一批货，本人信用良好，保证按时还款,0,1
71,0.15,50000,24,1,公司管理人员，工作稳定，入职8年，月薪收入4800元 ，年薪12万,0,1
72,0.15,350000,18,1,本公司成立于2011年，是一家拥有400亩土地的核桃园，今年赶上小丰产期，拥有充足的还款能力。详细内容可电话联系15637438886.侯先生！,0,0
73,0.15,10000,12,1,因自己的艺术围栏厂生意红火，需要扩大经营，急需资金周转。,1,0
74,0.13,62200,36,0,公司职员，现居贵州省贵阳市，从事批发和零售业行业，工作收入稳定，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
75,0.13,46700,36,0,公司职员，现居江苏省南通市，从事制造业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
76,0.13,93400,36,0,个体业主，现居贵州省贵阳市，从事批发和零售业行业，经营稳定，收入良好，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
77,0.13,41500,24,0,公司职员，现居山东省烟台市，从事教育行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
78,0.13,62200,36,0,公司职员，现居吉林省长春市，从事农、林、牧、渔业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
79,0.13,27600,24,0,公司职员，现居吉林省长春市，从事租赁和商务服务业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
80,0.13,62200,36,0,个体业主，现居江苏省苏州市，从事住宿和餐饮业行业，经营稳定，收入良好，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
81,0.13,120500,36,0,公司职员，现居河北省石家庄市，从事公共管理、社会组织和国际组织行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
82,0.13,62200,36,0,公司职员，现居吉林省长春市，从事制造业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
83,0.13,61500,36,0,公司职员，现居重庆省重庆市，从事批发和零售业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
84,0.13,27600,24,0,公司职员，现居江苏省苏州市，从事制造业行业，工作收入稳定，贷款用于购车。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
85,0.13,62200,36,0,公司职员，现居山东省烟台市，从事批发和零售业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
86,0.15,10000,18,1,本人想购买一些家具 每月工资还款 一定守信誉 按时还,0,1
87,0.2,6000,9,1,已经存了10000多块，现缺少5000多块，第一次诚信借款！,0,0
88,0.15,10000,12,1,我是一个淘宝店铺掌柜，毕业至今都是做与网店相关的工作，4年亲身体会时间都去哪儿了，去年辞职开始自己创业，经过一年的努力店铺马上4砖（差10几个评价），服装这一款很受季节和款式的影响，所以机会很短暂，自己运营店铺一年积累了不少经验和教训，今年过年回家待的时间较长...（生意受到了一点影响），今年上来几乎从头来过，由于资金紧张所以新款一直都没有投入广告运作，现在有几款宝贝很有爆款潜质，所以着急贷款，做生意最讲究的是诚信，特别是网商！所以我一定会准时还款的！加上信心十足，即使网店亏了，每个月2500左右的还款能力还是有的，所以现在希望能够贷到这笔钱，3000-10000之间都是可以的！十分感谢！,1,0
89,0.1,5000,3,1,毕业了想出去旅游下，但是我是刚毕业的学生，手头上一下子没有那么多的资金。,0,0
90,0.1,20000,3,1,借款买车，出现短期的资金缺少，需要进行小额度的贷款,0,0
91,0.22,5000,3,1,人人贷网络贷款体验公司股东还款无压力 其他网站还款信息 良好，无逾期，增加信誉以备不时之需,0,1
92,0.11,10000,6,1,购车购付，本人月工资6000+，保证按月按时还款,0,1
93,0.15,5000,12,1,本人信誉良好，从未逾期还款 每月都是按时还款,0,1
94,0.15,40000,24,1,本人国家事业单位在编正式职工，工作9年，资金周转,0,0
95,0.15,20000,6,1,我是个讲诚信的人，有稳定的工作，我会准时还款的！,0,1
96,0.15,40000,24,1,我和老婆都有工作，老婆退休还干一份，在公司干了30几年了，收入稳定，基本工资除外还有年终奖金，共同收入每月保底7000元。有还款能力，望大家支持。,0,1
97,0.2,6000,6,1,我亲眼见过有人利用虚假材料手续，在人人贷网站成功借款，而且都是大额的。他们是有组织有策划的团伙，有的人负责材料作假，有的人负责接回访电话作假，戏演的很逼真，所以通过了，钱拿到了，也没打算还。而反之，本站有些真正需要用钱的人，真正打算偿还的人，确几乎大多数通过不了。很多网贷平台倒闭，就是因为因为给老赖，当了赚钱的温床。还有很多P2P网贷公司审核岗的工作人员，也不乏有些傻逼，我就不在这里赘述了。,0,0
98,0.12,100000,9,1,想借助有缘人的力量，实现我自主创业的梦想！,0,0
99,0.12,79900,18,0,公司法人，现居重庆省重庆市，从事批发和零售业行业，经营稳定，收入良好，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
100,0.12,77400,18,0,公司法人，现居重庆省重庆市，从事制造业行业，经营稳定，收入良好，贷款用于购买货物/原材/设备。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
101,0.18,80000,24,1,真心想通过贵平台借到资金，以解不便之需！,0,0
102,0.13,62200,36,0,公司职员，现居辽宁省沈阳市，从事批发和零售业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
103,0.15,15000,24,1,个人消费借款，本人在一家网络公司担任技术主管职务，从业13年，有稳定的收入，一向注重个人信用，有足够的能力按时还款！,0,1
104,0.11,30000,6,1,婚礼筹备，暂时着急用钱，本人公务员，有房有车，诚信借贷,1,0
105,0.13,61500,36,0,公司职员，现居江苏省南通市，从事卫生、社会保障和社会福利业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
106,0.15,400000,18,1,由于公司生产资金周转需要，目前公司一年营业额在一千万左右，今年公司有新近了一批设备，资金不够。特向人人贷平台提出申请贷款。,0,0
107,0.15,50000,12,1,做生意周转，和新代理押金，需要向贵公司借贷5万元望贵公司审核通过。,0,0
108,0.15,500000,12,1,本店自2010年成立至今已有5年，主要经营进口化妆品和个人清洁护理用品，因为都是原装进口商品，到货周期较长，先需要大量备货。需要流动资金。,0,0
109,0.13,81200,36,0,公司职员，现居北京省北京市，从事教育行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
110,0.13,73800,36,0,公司职员，现居北京省北京市，从事文化、体育和娱乐业行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
111,0.13,46700,36,0,公司职员，现居江苏省南京市，从事金融业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
112,0.15,50000,24,1,本人老家建房子，还差点钱，所以在此申请大家的帮助！本人正规企业职工，在这家企业已经工作了快五年了，每月收入有一万多！诚信人，希望大家支持！,0,0
113,0.12,3000,9,1,好评99.9%的三钻卖家 需要良好的循环信用资金 以备旺季进货周转,0,1
114,0.15,20000,12,1,因本人刚转接一间礼品店，刚装修好，货也进了，目前观察许久，发现手机盒子支付移动POS机，很畅销，很好卖，我想进一点移动POS机回来做，本市代理，所以想贵网站赞助一下,0,0
115,0.15,30000,24,1,计划换车，上下班代步用，申请好多次了，哪项材料不合格啊,0,0
116,0.12,30000,9,1,本人在四川成都荷花池经营毛巾、袜子的批发，现需一笔三万左右现金进行进货周转。,0,0
117,0.11,10000,6,1,1.11E+35,0,0
118,0.15,100000,24,1,公司新拿下几个成熟产品线，需求资金周转，恳请批复。,0,0
119,0.15,50000,24,1,老家建房子还差一点钱，在此希望大家的帮助！本人正规企业职工，在这公司上班已经快五年了，每月收入有一万多！诚信人，希望大家的支持！,0,0
120,0.13,27600,24,0,公司职员，现居贵州省遵义市，从事制造业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
121,0.13,27600,24,0,公司职员，现居江苏省苏州市，从事制造业行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
122,0.12,101500,18,0,公司法人，现居重庆省重庆市，从事批发和零售业行业，经营稳定，收入良好，贷款用于电器代理。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
123,0.12,41900,18,0,公司法人，现居辽宁省沈阳市，从事批发和零售业行业，经营稳定，收入良好，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
124,0.13,124500,36,0,公司职员，现居山东省烟台市，从事批发和零售业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
125,0.11,100000,6,1,短期周转，真诚可靠，诚信务实。拒绝虚假。,0,0
126,0.15,300000,24,1,业余时间做大学校园小阿龙全国连锁餐饮作为副业,0,0
127,0.1,5000,3,1,用于化妆品代理！周转3个月，是泰国的进口产品，因为现在要加大进货量！现在想借钱扩展！,0,0
128,0.15,50000,24,1,本人有房有车，在公司担任副总经理，需要资金周转，谢谢！,0,0
129,0.15,5000,24,1,暂时周转，谢谢帮助，遵守规则、按时还款、谢谢信任,0,1
130,0.15,10000,18,1,借款做烤鸭的烤炉冰箱推车，本人掌握一套烤鸭蜜汁鸡叉烧蜜汁排骨烧鸡技术想傍晚时候卖兼职卖这些,0,0
131,0.15,10000,18,1,本人就职事业单位公办幼儿园教师4年，工资+课程提成合计3000左右，另兼职微信服装买卖，月入1000左右，买卖中遇到瓶颈，介于是代理商，货源和利润得不到保证，想借此平台筹集资金周转。,0,0
132,0.15,150000,12,0,最近我工厂接单比较多，资金紧张，急需资金购买原材料，保障顺利交货。,1,0
133,0.15,5000,12,1,网店扩大，需资金注入，希望能通过，感谢大家,0,0
134,0.11,10000,6,1,本人借款用于房屋装修 ， 以及购置家居用品。,0,0
135,0.15,150000,12,1,用于店面的扩大装修和服装的进购，满足更多消费者的需求。,0,0
136,0.16,3000,6,1,快递公司职员 体验网贷 累积信誉 为以后创业融资打好基础。多谢支持！,0,0
137,0.2,10000,12,1,因为淘宝店铺扩大范围经营，发展方向有变，本金不是很足，所以需要借款。,0,0
138,0.13,77800,36,0,公司职员，现居吉林省长春市，从事批发和零售业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
139,0.13,93400,36,0,公司职员，现居江苏省苏州市，从事租赁和商务服务业行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
140,0.13,55300,24,0,公司职员，现居辽宁省沈阳市，从事批发和零售业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
141,0.12,101500,18,0,公司法人，现居甘肃省兰州市，从事批发和零售业行业，经营稳定，收入良好，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
142,0.12,101500,18,0,公司法人，现居江苏省苏州市昆山，从事批发和零售业行业，经营稳定，收入良好，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
143,0.12,88800,18,0,公司法人，现居吉林省长春市，从事批发和零售业行业，经营稳定，收入良好，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,0,1
144,0.15,50000,24,1,本人老家建新房还差些钱，在此希望大家的支持。本人正规企业员工，在本公司已经工作了快五年了，每月收入有一万多！诚信人，希望大家帮助！,0,0
145,0.15,40000,12,1,由于在厂家定了很多货 现金都压在仓库里面所以需要周转资金,0,0
146,0.15,10000,12,1,由于开了两个网店 资金周转有些困难 压货太多 上新有一定的资金困难,0,0
147,0.2,10000,3,1,有稳定的工作，有稳定的收入，有车，有房，想通过这平台验证下，网络贷款的优势,0,1
148,0.15,10000,12,1,因家里需要一些资金周转，暂时的周转下，，,0,0
149,0.2,50000,12,1,公司开业急需融资，多谢大家支持创业青年，我会承载着大家的信任服务于社会。,1,0
150,0.11,3000,6,1,本人从事设计行业，每月工薪3000-10000元，因女友快过生日了，我想为她准备一个特别的礼物，大家想知道是什么吗，估计你们也能猜到了吧，哈哈，第一次网贷，希望能顺利通过，为以后的信用打基础，谢谢支持了。,0,0
